population: 3
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
2.1276595744680852e-07,7.50000132499988e-08,7.500000662499966e-08,7.500000441666653e-08,7.50000033124999e-08,7.500000264999996e-08,7.500000220833332e-08,7.500000189285711e-08,7.500000165624997e-08,7.500000147222219e-08,7.500000132499995e-08,7.500000120454543e-08,7.500000110416664e-08,7.500000101923075e-08,7.500000094642855e-08,7.500000088333331e-08,7.500000082812497e-08,7.500000077941175e-08,7.50000007361111e-08,7.500000069736842e-08
0.0,0.32625005463749424,0.3262500273187484,0.3262500182124993,0.3262500136593746,0.3262500109274998,0.3262500091062499,0.326250007805357,0.3262500068296874,0.3262500060708332,0.3262500054637498,0.32625000496704537,0.3262500045531249,0.3262500042028845,0.32625000390267844,0.3262500036424999,0.32625000341484367,0.3262500032139706,0.32625000303541657,0.32625000287565786
8700000.000000002,13049999.959999999,13049999.98,13049999.986666666,13049999.990000002,13049999.991999999,13049999.993333334,13049999.994285716,13049999.995000003,13049999.995555557,13049999.996000003,13049999.996363636,13049999.996666668,13049999.996923078,13049999.997142855,13049999.997333335,13049999.997500002,13049999.997647062,13049999.997777779,13049999.997894736
population: 5
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
5.714285714285719e-06,7.50000132499988e-08,7.500000662499969e-08,7.500000441666653e-08,7.500000331249992e-08,7.500000264999996e-08,7.50000022083333e-08,7.500000189285714e-08,7.500000165624997e-08,7.500000147222219e-08,7.500000132499998e-08,7.500000120454542e-08,7.500000110416664e-08,7.500000101923075e-08,7.500000094642855e-08,7.500000088333331e-08,7.500000082812496e-08,7.500000077941176e-08,7.50000007361111e-08,7.500000069736842e-08
-0.0,0.32625005463749424,0.3262500273187485,0.3262500182124994,0.32625001365937467,0.3262500109274998,0.3262500091062499,0.3262500078053571,0.3262500068296874,0.3262500060708332,0.32625000546374994,0.32625000496704537,0.32625000455312486,0.32625000420288447,0.3262500039026785,0.3262500036424999,0.3262500034148436,0.3262500032139706,0.3262500030354166,0.32625000287565786
10875000.000000002,21749999.959999997,21749999.98,21749999.986666672,21749999.990000002,21749999.991999995,21749999.99333334,21749999.994285718,21749999.995000005,21749999.995555557,21749999.996000003,21749999.99636364,21749999.996666666,21749999.996923074,21749999.99714286,21749999.997333337,21749999.997500006,21749999.99764706,21749999.997777782,21749999.997894738
population: 10
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
4.2553191489361704e-07,7.50000132499988e-08,7.500000662499969e-08,7.500000441666652e-08,7.500000331249992e-08,7.500000264999996e-08,7.500000220833329e-08,7.500000189285711e-08,7.500000165624997e-08,7.500000147222219e-08,7.500000132499996e-08,7.500000120454542e-08,7.500000110416663e-08,7.500000101923073e-08,7.500000094642855e-08,7.500000088333333e-08,7.500000082812497e-08,7.500000077941175e-08,7.50000007361111e-08,7.50000006973684e-08
0.0,0.32625005463749424,0.3262500273187485,0.3262500182124994,0.3262500136593746,0.3262500109274998,0.3262500091062499,0.32625000780535707,0.3262500068296874,0.32625000607083326,0.3262500054637499,0.32625000496704537,0.32625000455312486,0.32625000420288447,0.32625000390267855,0.3262500036425,0.32625000341484367,0.3262500032139706,0.3262500030354166,0.3262500028756578
23925000.000000004,43499999.96,43499999.98,43499999.98666669,43499999.989999995,43499999.99199999,43499999.99333335,43499999.994285725,43499999.995000005,43499999.99555557,43499999.99600001,43499999.99636365,43499999.99666668,43499999.996923074,43499999.997142866,43499999.99733333,43499999.9975,43499999.99764707,43499999.99777779,43499999.997894734
