setting: 1
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
6.557377049180327e-07,1.1999998640000352e-06,1.199999932000009e-06,1.1999999546666702e-06,1.1999999660000017e-06,1.1999999728000013e-06,1.1999999773333343e-06,1.199999980571429e-06,1.1999999830000006e-06,1.1999999848888894e-06,1.1999999864e-06,1.1999999876363638e-06,1.199999988666667e-06,1.1999999895384612e-06,1.199999990285714e-06,1.1999999909333337e-06,1.1999999915e-06,1.1999999919999997e-06,1.1999999924444445e-06,1.1999999928421052e-06
0.0,1.9799997276000636,1.9799998638000165,1.9799999092000062,1.9799999319000032,1.9799999455200024,1.9799999546000016,1.9799999610857153,1.9799999659500012,1.9799999697333344,1.97999997276,1.979999975236364,1.9799999773000003,1.9799999790461533,1.979999980542857,1.9799999818400007,1.979999982975,1.9799999839764704,1.979999984866667,1.9799999856631578
9075000.000000002,16499999.959999999,16499999.98,16499999.986666666,16499999.990000002,16499999.991999999,16499999.993333332,16499999.994285716,16499999.995000001,16499999.99555556,16499999.996,16499999.996363636,16499999.996666666,16499999.996923078,16499999.997142857,16499999.997333333,16499999.997499999,16499999.99764706,16499999.997777779,16499999.997894738
setting: 2
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
6.837606837606837e-07,2.399999344000314e-06,2.3999996720000783e-06,2.3999997813333674e-06,2.3999998360000188e-06,2.3999998688000114e-06,2.3999998906666748e-06,2.39999990628572e-06,2.3999999180000045e-06,2.399999927111115e-06,2.3999999344000023e-06,2.399999940363639e-06,2.3999999453333354e-06,2.399999949538463e-06,2.399999953142858e-06,2.399999956266668e-06,2.399999959000001e-06,2.399999961411765e-06,2.3999999635555565e-06,2.399999965473686e-06
0.0,3.6599989036005054,3.659999451800126,3.6599996345333885,3.6599997259000308,3.659999780720019,3.6599998172666797,3.659999843371438,3.659999862950007,3.6599998781777847,3.6599998903600035,3.6599999003272767,3.659999908633337,3.6599999156615417,3.6599999216857158,3.6599999269066688,3.659999931475002,3.659999935505883,3.6599999390888907,3.6599999422947396
8387500.0,15249999.959999997,15249999.979999999,15249999.986666668,15249999.99,15249999.992000002,15249999.99333333,15249999.994285714,15249999.995,15249999.995555557,15249999.996000001,15249999.996363638,15249999.996666668,15249999.996923082,15249999.997142855,15249999.997333331,15249999.9975,15249999.99764706,15249999.997777777,15249999.997894738
setting: 3
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
6.936416184971099e-07,3.5999984400010924e-06,3.599999220000273e-06,3.599999480000122e-06,3.599999610000068e-06,3.5999996880000453e-06,3.5999997400000294e-06,3.599999777142879e-06,3.599999805000018e-06,3.599999826666681e-06,3.5999998440000103e-06,3.599999858181826e-06,3.599999870000006e-06,3.5999998800000058e-06,3.5999998885714337e-06,3.599999896000004e-06,3.5999999025000032e-06,3.5999999082352968e-06,3.5999999133333365e-06,3.5999999178947394e-06
0.0,5.339997542001683,5.339998771000421,5.3399991806668545,5.339999385500105,5.33999950840007,5.339999590333378,5.339999648857177,5.339999692750028,5.339999726888911,5.339999754200016,5.339999776545467,5.339999795166677,5.339999810923087,5.33999982442858,5.33999983613334,5.339999846375005,5.33999985541177,5.339999863444449,5.339999870631583
8158333.333333333,14833333.29333333,14833333.313333333,14833333.319999998,14833333.323333334,14833333.325333335,14833333.326666664,14833333.327619048,14833333.328333333,14833333.32888889,14833333.329333333,14833333.32969697,14833333.330000002,14833333.330256414,14833333.330476193,14833333.330666669,14833333.330833333,14833333.330980394,14833333.331111109,14833333.331228072
setting: 4
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
5.504587155963303e-06,3.599999952000251e-06,3.5999999760000637e-06,3.599999984000029e-06,3.599999988000015e-06,3.599999990400011e-06,3.5999999920000066e-06,3.599999993142862e-06,3.5999999940000043e-06,3.59999999466667e-06,3.599999995200002e-06,3.5999999956363665e-06,3.5999999960000007e-06,3.599999996307694e-06,3.599999996571429e-06,3.5999999968000013e-06,3.599999997e-06,3.599999997176472e-06,3.5999999973333334e-06,3.5999999974736847e-06
0.0,0.8039998452800581,0.8039999226400147,0.8039999484266733,0.8039999613200035,0.8039999690560026,0.803999974213335,0.8039999778971441,0.8039999806600009,0.8039999828088897,0.8039999845280006,0.8039999859345461,0.803999987106667,0.8039999880984618,0.8039999889485716,0.8039999896853337,0.8039999903300001,0.8039999908988238,0.8039999914044447,0.8039999918568421
1228333.3333333335,2233333.2933333283,2233333.313333332,2233333.3199999994,2233333.3233333332,2233333.325333333,2233333.3266666667,2233333.3276190474,2233333.3283333327,2233333.328888889,2233333.3293333338,2233333.3296969696,2233333.3300000005,2233333.33025641,2233333.330476191,2233333.330666667,2233333.3308333335,2233333.3309803917,2233333.331111112,2233333.33122807
